FIRE_EVENT_ID,start_day_of_sim
9153287,0
9155267,0
9185154,0
9218948,0
9250771,0
9251374,0
9269467,0
9062347,1
9186440,1
9188070,1
9218536,1
9218699,1
9251016,1
9255966,1
9256131,1
9268919,1
9063512,2
9063927,2
9065707,2
9066583,2
9095328,2
9120308,2
9122508,2
9025313,3
9074823,3
9118036,3
9131086,3
9071636,4
9093430,4
9158416,5
9041592,6
9041835,6
9073125,6
9038064,7
9039170,7
9040829,7
9043001,7
9045476,7
9048237,7
9052758,7
9216987,7
9231325,8
9231453,8
9231915,8
9232042,8
9066427,9
9095808,9
9159692,11
9170696,11
9227888,11
9228131,11
9228844,11
9083723,12
9087651,13
